component,location,carrier,0
Load,FR0 0,agriculture electricity,
Load,FR0 0,agriculture heat,
Load,FR0 0,agriculture machinery electric,
Load,FR0 0,electricity,
Load,FR0 0,industry electricity,
Load,FR0 0,land transport EV,
Load,FR0 0,low-temperature heat for industry,
Load,FR0 0,residential rural heat,
Load,FR0 0,residential urban decentral heat,
Load,FR0 0,services rural heat,
Load,FR0 0,services urban decentral heat,
Load,FR0 0,urban central heat,
Load,FR5 0,H2 for industry,
Load,FR5 0,agriculture electricity,
Load,FR5 0,agriculture heat,
Load,FR5 0,agriculture machinery electric,
Load,FR5 0,electricity,
Load,FR5 0,industry electricity,
Load,FR5 0,land transport EV,
Load,FR5 0,low-temperature heat for industry,
Load,FR5 0,residential rural heat,
Load,FR5 0,residential urban decentral heat,
Load,FR5 0,services rural heat,
Load,FR5 0,services urban decentral heat,
Load,GB2 0,H2 for industry,
Load,GB2 0,agriculture electricity,
Load,GB2 0,agriculture heat,
Load,GB2 0,agriculture machinery electric,
Load,GB2 0,electricity,
Load,GB2 0,industry electricity,
Load,GB2 0,land transport EV,
Load,GB2 0,low-temperature heat for industry,
Load,GB2 0,residential rural heat,
Load,GB2 0,residential urban decentral heat,
Load,GB2 0,services rural heat,
Load,GB2 0,services urban decentral heat,
Load,GB2 0,urban central heat,
Load,GB3 0,H2 for industry,
Load,GB3 0,agriculture electricity,
Load,GB3 0,agriculture heat,
Load,GB3 0,agriculture machinery electric,
Load,GB3 0,electricity,
Load,GB3 0,industry electricity,
Load,GB3 0,land transport EV,
Load,GB3 0,low-temperature heat for industry,
Load,GB3 0,residential rural heat,
Load,GB3 0,residential urban decentral heat,
Load,GB3 0,services rural heat,
Load,GB3 0,services urban decentral heat,
Load,GB3 0,urban central heat,
Load,GR0 0,H2 for industry,
Load,GR0 0,agriculture electricity,
Load,GR0 0,agriculture heat,
Load,GR0 0,agriculture machinery electric,
Load,GR0 0,electricity,
Load,GR0 0,industry electricity,
Load,GR0 0,land transport EV,
Load,GR0 0,low-temperature heat for industry,
Load,GR0 0,residential rural heat,
Load,GR0 0,residential urban decentral heat,
Load,GR0 0,services rural heat,
Load,GR0 0,services urban decentral heat,
Load,GR0 0,urban central heat,
Load,HR0 0,H2 for industry,
Load,HR0 0,agriculture electricity,
Load,HR0 0,agriculture heat,
Load,HR0 0,agriculture machinery electric,
Load,HR0 0,electricity,
Load,HR0 0,industry electricity,
Load,HR0 0,land transport EV,
Load,HR0 0,low-temperature heat for industry,
Load,HR0 0,residential rural heat,
Load,HR0 0,residential urban decentral heat,
Load,HR0 0,services rural heat,
Load,HR0 0,services urban decentral heat,
Load,HR0 0,urban central heat,
Load,HU0 0,H2 for industry,
Load,HU0 0,agriculture electricity,
Load,HU0 0,agriculture heat,
Load,HU0 0,agriculture machinery electric,
Load,HU0 0,electricity,
Load,HU0 0,industry electricity,
Load,HU0 0,land transport EV,
Load,HU0 0,low-temperature heat for industry,
Load,HU0 0,residential rural heat,
Load,HU0 0,residential urban decentral heat,
Load,HU0 0,services rural heat,
Load,HU0 0,services urban decentral heat,
Load,HU0 0,urban central heat,
Load,IE3 0,H2 for industry,
Load,IE3 0,agriculture electricity,
Load,IE3 0,agriculture heat,
Load,IE3 0,agriculture machinery electric,
Load,IE3 0,electricity,
Load,IE3 0,industry electricity,
Load,IE3 0,land transport EV,
Load,IE3 0,low-temperature heat for industry,
Load,IE3 0,residential rural heat,
Load,IE3 0,residential urban decentral heat,
Load,IE3 0,services rural heat,
Load,IE3 0,services urban decentral heat,
Load,IE3 0,urban central heat,
Load,IT0 0,H2 for industry,
Load,IT0 0,agriculture electricity,
Load,IT0 0,agriculture heat,
Load,IT0 0,agriculture machinery electric,
Load,IT0 0,electricity,
Load,IT0 0,industry electricity,
Load,IT0 0,land transport EV,
Load,IT0 0,low-temperature heat for industry,
Load,IT0 0,residential rural heat,
Load,IT0 0,residential urban decentral heat,
Load,IT0 0,services rural heat,
Load,IT0 0,services urban decentral heat,
Load,IT0 0,urban central heat,
Load,IT4 0,H2 for industry,
Load,IT4 0,agriculture electricity,
Load,IT4 0,agriculture heat,
Load,IT4 0,agriculture machinery electric,
Load,IT4 0,electricity,
Load,IT4 0,industry electricity,
Load,IT4 0,land transport EV,
Load,IT4 0,low-temperature heat for industry,
Load,IT4 0,residential rural heat,
Load,IT4 0,residential urban decentral heat,
Load,IT4 0,services rural heat,
Load,IT4 0,services urban decentral heat,
Load,IT4 0,urban central heat,
Load,LT0 0,H2 for industry,
Load,LT0 0,agriculture electricity,
Load,LT0 0,agriculture heat,
Load,LT0 0,agriculture machinery electric,
Load,LT0 0,electricity,
Load,LT0 0,industry electricity,
Load,LT0 0,land transport EV,
Load,LT0 0,low-temperature heat for industry,
Load,LT0 0,residential rural heat,
Load,LT0 0,residential urban decentral heat,
Load,LT0 0,services rural heat,
Load,LT0 0,services urban decentral heat,
Load,LT0 0,urban central heat,
Load,LU0 0,H2 for industry,
Load,LU0 0,agriculture electricity,
